channel_numb,julian_day,start_decay,end_decay
6234.1,2458114,0.5018814285728443,0.5018814286485532
6234.2,2458114,0.50188142857296,0.5018814286486545
6234.1,2458114,0.5030808204049768,0.5030808204208478
6234.2,2458114,0.5030808204050636,0.5030808204209202
6234.1,2458114,0.5031230972545427,0.5031230972841725
6234.2,2458114,0.5031230972546296,0.5031230972842737
6234.1,2458114,0.503138054527011,0.503138054607798
6234.2,2458114,0.5031380545270544,0.5031380546078414
6234.1,2458114,0.5033019391655382,0.5033019391774016
6234.2,2458114,0.5033019391656395,0.5033019391775029
6234.1,2458114,0.5034661479251302,0.5034661479779224
6234.2,2458114,0.5034661479251447,0.5034661479779369
6234.1,2458114,0.5043015750572193,0.504301575061386
6234.2,2458114,0.5043015750573061,0.5043015750614872
6234.1,2458114,0.50507091118057,0.5050709111934606
6234.2,2458114,0.5050709111806279,0.5050709111935185
6234.1,2458114,0.5058758669572627,0.5058758669710359
6234.2,2458114,0.505875866957335,0.5058758669711516
6234.1,2458114,0.5058758669575085,0.5058758669710359
6234.1,2458114,0.5063961293941117,0.506396129405107
6234.2,2458114,0.506396129394155,0.5063961294051504
6234.1,2458114,0.5065018265733796,0.5065018265833912
6234.2,2458114,0.5065018265734086,0.5065018265834201
6234.1,2458114,0.5065573741182435,0.5065573741401042
6234.2,2458114,0.506557374118316,0.506557374140162
6234.1,2458114,0.5069151073060908,0.5069151073150607
6234.2,2458114,0.5069151073061487,0.5069151073151331
6234.1,2458114,0.5073182268074075,0.5073182268318865
6234.2,2458114,0.5073182268075086,0.5073182268319733
6234.1,2458114,0.5073182268076533,0.5073182268318865
6234.1,2458114,0.5075761760552228,0.5075761760677951
6234.2,2458114,0.5075761760552373,0.507576176067824
6234.1,2458114,0.5079880741573785,0.5079880741726708
6234.2,2458114,0.5079880741574219,0.5079880741726996
6234.1,2458114,0.5079880741575954,0.5079880741726708
6234.1,2458114,0.5089380540122975,0.5089380540276042
6234.2,2458114,0.5089380540124422,0.5089380540277488
6234.1,2458114,0.5089690530782986,0.5089690530920428
6234.2,2458114,0.5089690530783709,0.5089690530921296
6234.1,2458114,0.5105378753295573,0.510537875343533
6234.2,2458114,0.5105378753296151,0.5105378753435909
6234.1,2458114,0.5116587468224826,0.5116587468539351
6234.2,2458114,0.511658746822497,0.5116587468539496
6234.1,2458114,0.5117708727933739,0.5117708728000723
6234.2,2458114,0.5117708727934607,0.5117708728001591
6234.1,2458114,0.5120290296007088,0.5120290296081452
6234.2,2458114,0.5120290296007523,0.5120290296081597
6234.2,2458114,0.5120290296009837,0.5120290296081597
6234.1,2458114,0.5121784957383535,0.5121784958415944
6234.2,2458114,0.5121784957383825,0.5121784958416088
6234.1,2458114,0.5125527536854599,0.512552753689482
6234.2,2458114,0.5125527536855179,0.5125527536895255
6234.1,2458114,0.513070811747092,0.5130708117670428
6234.2,2458114,0.5130708117471644,0.5130708117671151
6234.1,2458114,0.5134075341543837,0.5134075341725405
6234.2,2458114,0.5134075341543981,0.5134075341725549
6234.1,2458114,0.5160125747065104,0.5160125747256366
6234.2,2458114,0.5160125747066117,0.5160125747257667
6234.1,2458114,0.5160125747066985,0.5160125747256366
6234.1,2458114,0.5160208633068432,0.5160208633559751
6234.2,2458114,0.5160208633069444,0.5160208633560763
6234.1,2458114,0.5174313066025896,0.5174313066112557
6234.2,2458114,0.5174313066027054,0.5174313066113859
6234.1,2458114,0.5174313066028211,0.5174313066112557
6234.1,2458114,0.5184684929667679,0.5184684929703125
6234.2,2458114,0.5184684929668691,0.5184684929704282
6234.1,2458114,0.5198431620442707,0.5198431620715134
6234.2,2458114,0.5198431620443142,0.5198431620715567
6234.1,2458114,0.5199707036736979,0.5199707036917679
6234.2,2458114,0.5199707036737558,0.5199707036918402
6234.1,2458114,0.5199707036739004,0.5199707036917679
6234.1,2458114,0.5206940796309172,0.5206940796511285
6234.2,2458114,0.5206940796309462,0.5206940796511574
6234.1,2458114,0.5217228778356336,0.5217228778630787
6234.2,2458114,0.5217228778356626,0.5217228778631077
6234.1,2458114,0.5222627002417679,0.5222627002932726
6234.2,2458114,0.5222627002417969,0.522262700293316
6234.1,2458114,0.5233231796267795,0.5233231796302661
6234.2,2458114,0.5233231796268374,0.523323179630324
6234.1,2458114,0.5242200506796151,0.5242200507170718
6234.2,2458114,0.5242200506797453,0.5242200507172019
6234.1,2458114,0.5256941250046152,0.525694125018533
6234.2,2458114,0.5256941250047599,0.5256941250186776
6234.1,2458114,0.5267126601974971,0.526712660202908
6234.2,2458114,0.5267126601975405,0.5267126602029369
6234.1,2458114,0.5269922228083478,0.5269922228143952
6234.2,2458114,0.5269922228083767,0.5269922228144241
6234.1,2458114,0.5278977350163339,0.5278977350340711
6234.2,2458114,0.5278977350164497,0.5278977350342158
6234.1,2458114,0.5290540189961516,0.5290540190106771
6234.2,2458114,0.529054018996166,0.5290540190106915
6234.1,2458114,0.5293200112851707,0.5293200112985821
6234.2,2458114,0.529320011285243,0.5293200112986834
6234.1,2458114,0.5308768541836372,0.5308768541886429
6234.2,2458114,0.5308768541837384,0.5308768541887298
6234.1,2458114,0.5314964390617766,0.5314964390813801
6234.2,2458114,0.5314964390618344,0.5314964390814381
6234.1,2458114,0.5323084064191261,0.5323084064400463
6234.2,2458114,0.5323084064192275,0.5323084064401187
6234.1,2458114,0.5330457499809171,0.5330457500275897
6234.2,2458114,0.5330457499810329,0.5330457500276765
6234.1,2458114,0.5333162207723958,0.5333162208106915
6234.2,2458114,0.5333162207725405,0.5333162208108652
6234.1,2458114,0.5333162207726562,0.5333162208106915
6234.1,2458114,0.5343560676765335,0.5343560677138021
6234.2,2458114,0.5343560676765768,0.5343560677138599
6234.1,2458114,0.5378730318907117,0.5378730319148003
6234.2,2458114,0.5378730318907262,0.5378730319148293
6234.1,2458114,0.5379939064794271,0.5379939065033998
